Module,File,CRUD,Import,Export,IndexedDB,Auto Push,Auto Pull,Dedup,Calculation,Less-over-more,Mobile,Desktop,GS v4.2 mock integration,Evidence and limits
BOM＋成本報價,VRT_BOM_Management_v2_AI.html,FAIL（未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,182 款／364 筆與部分匯入；報價儲存／舊視窗保護；PDF/OCR 未實檔驗證
cutting_v3,cutting_v3.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
production_plan_capacity_v1,production_plan_capacity_v1.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
vrt_fabric_delivery_greige_center_v1,vrt_fabric_delivery_greige_center_v1.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
VRT_FG_Inventory_Management_v1,VRT_FG_Inventory_Management_v1.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,沿用 v3.9；本次共用連線／XLSX 依賴／語法檢查，沒有此模組完整實檔及裝置驗收。
sewing_v5,sewing_v5.html,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,修正啟動等候本機資料；共用 Smart Sync 中斷續讀／未變不下載模擬通過。缺少原先 shipping/sewing 原報表，本次未重驗所有匯入與計算。
Production Overview,production_v4.html,N/A（彙整／共用母頁）,N/A（彙整／共用母頁）,FAIL（未驗證）,FAIL（未驗證）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,FAIL（未驗證）,PASS（資料測試）,N/A（彙整／共用母頁）,FAIL（未驗證）,FAIL（未驗證）,FAIL（模組完整 GS 流程未驗證）,正式 SMV 共用取值；排程沿用 Production Plan；整頁匯總未實機驗證
正式 SMV,smv_manager_v5_final.html,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,沿用正式版本／歷史保護回歸；本次 Excel 及生成 EML 內 OBD 自動交 IE 預覽，正式庫不混入 Pending。未實機操作。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。
機台零件庫存,vrt_spare_parts_v2.html,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,原庫存與 CRUD 資料測試沿用；本次實際 Daily Change 格式、重匯、保存及更換／庫存分開通過。未實測裝置與正式 GS。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。
機針庫存,vrt_spare_parts_v2.html,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,原庫存與 CRUD 資料測試沿用；本次實際 Daily Change 格式、重匯、保存及更換／庫存分開通過。未實測裝置與正式 GS。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。
Needle Change,vrt_spare_parts_v2.html,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（資料測試）,PASS（資料測試）,PASS（資料測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,原庫存與 CRUD 資料測試沿用；本次實際 Daily Change 格式、重匯、保存及更換／庫存分開通過。未實測裝置與正式 GS。 280 筆換針；來源數量矛盾已提示，未擅改。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。
零件更換紀錄,vrt_spare_parts_v2.html,FAIL（未驗證）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,PASS（本機資料／模擬測試）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS 程式／模擬 Google 服務）,本次實檔 35 筆／36 個；Excel 匯出讀回、重匯、日期修正及歷史／庫存分開通過。新增編輯等完整表單未實機驗證。 v4.1：實際 Production GS 與本模組前端往返、未變不傳通過；正式部署及實機未驗證。
Final QC,vrt_final_qc_v1.html,PASS（本機程式／模擬整合）,PASS（本機程式／模擬整合）,PASS（本機程式／模擬整合）,PASS（本機程式／模擬整合）,FAIL（正式 GS 未驗證）,FAIL（正式 GS 未驗證）,PASS（本機程式／模擬整合）,PASS（本機程式／模擬整合）,PASS（本機程式／模擬整合）,FAIL（未驗證）,FAIL（未驗證）,PASS（實際 GS v4.2 程式／模擬 Google 服務）,v4.3：最新 9/22 日報 13＋週報 78，共 91；檢驗34247／不良1680／實際產出31652。預覽上方確認、跨期顯示全部、重匯、保存及其他 QC 回歸通過。手機／桌面與正式 GS 未實測。
